approach,model,level,question_id,scoring,invocation_status,passed,detail
b2_rag_cypher,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,False,expected=381.0 got=298.0
b2_rag_hybrid,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,False,expected=782.0 got=8.0
b2_rag_hybrid,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,False,expected=782.0 got=8.0
b2_rag_cypher,gpt-4o,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,False,expected=437940.0 got=917.0
b2_rag_hybrid,gpt-4o,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q005_distinct_object_ids_at_main_entrance,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q005_distinct_object_ids_at_main_entrance,exact_numeric,ok,False,expected=2951.0 got=8.0
b2_rag_hybrid,gpt-4o,L1,L1_q005_distinct_object_ids_at_main_entrance,exact_numeric,ok,False,expected=2951.0 got=8.0
b2_rag_cypher,gpt-4o,L1,L1_q006_active_cameras_during_keynote,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q006_active_cameras_during_keynote,exact_numeric,ok,True,match
b2_rag_hybrid,gpt-4o,L1,L1_q006_active_cameras_during_keynote,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q007_cars_into_parking_lot,exact_numeric,ok,False,expected=381.0 got=0.0
b2_rag_community,gpt-4o,L1,L1_q007_cars_into_parking_lot,exact_numeric,ok,False,expected=381.0 got=8.0
b2_rag_hybrid,gpt-4o,L1,L1_q007_cars_into_parking_lot,exact_numeric,ok,False,expected=381.0 got=0.0
b2_rag_cypher,gpt-4o,L1,L1_q008_people_through_main_gate,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q008_people_through_main_gate,exact_numeric,ok,False,expected=2883.0 got=8.0
b2_rag_hybrid,gpt-4o,L1,L1_q008_people_through_main_gate,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q009_total_cameras_at_venue,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q009_total_cameras_at_venue,exact_numeric,ok,False,expected=8.0 got=6.0
b2_rag_hybrid,gpt-4o,L1,L1_q009_total_cameras_at_venue,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q010_person_exits_main_gate,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q010_person_exits_main_gate,exact_numeric,ok,False,expected=1352.0 got=450.0
b2_rag_hybrid,gpt-4o,L1,L1_q010_person_exits_main_gate,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q011_car_exits_parking,exact_numeric,ok,False,expected=397.0 got=0.0
b2_rag_community,gpt-4o,L1,L1_q011_car_exits_parking,exact_numeric,ok,False,expected=397.0 got=312.0
b2_rag_hybrid,gpt-4o,L1,L1_q011_car_exits_parking,exact_numeric,ok,False,expected=397.0 got=8.0
b2_rag_cypher,gpt-4o,L1,L1_q012_crowd_events_expo,exact_numeric,ok,True,match
b2_rag_community,gpt-4o,L1,L1_q012_crowd_events_expo,exact_numeric,ok,False,expected=86400.0 got=1.0
b2_rag_hybrid,gpt-4o,L1,L1_q012_crowd_events_expo,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q013_total_car_entries,exact_numeric,ok,True,match
