approach,model,level,question_id,scoring,invocation_status,passed,detail
b1_sql,gpt-5-mini,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q004_total_events_in_summit_day,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q004_total_events_in_summit_day,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q005_distinct_object_ids_at_main_entrance,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q005_distinct_object_ids_at_main_entrance,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q006_active_cameras_during_keynote,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q006_active_cameras_during_keynote,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q007_cars_into_parking_lot,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q007_cars_into_parking_lot,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q008_people_through_main_gate,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q008_people_through_main_gate,exact_numeric,error,,error
b1_sql,gpt-5-mini,L1,L1_q009_total_cameras_at_venue,exact_numeric,error,,error
b1_sql,gpt-5,L1,L1_q009_total_cameras_at_venue,exact_numeric,error,,error
b1_sql,gpt-5-mini,L2,L2_q001_peak_headcount_nvidia_booth,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q001_peak_headcount_nvidia_booth,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q002_avg_headcount_foodcourt_lunch,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q002_avg_headcount_foodcourt_lunch,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q003_avg_confidence_all_events,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q003_avg_confidence_all_events,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q004_low_confidence_events_count,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q004_low_confidence_events_count,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q005_net_person_flow_main_entrance,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q005_net_person_flow_main_entrance,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q006_busiest_moment_nvidia,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q006_busiest_moment_nvidia,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q007_low_confidence_detections,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q007_low_confidence_detections,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L2,L2_q008_lunch_crowd_food_court,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5,L2,L2_q008_lunch_crowd_food_court,numeric_tolerance_1pct,error,,error
b1_sql,gpt-5-mini,L3,L3_q001_peak_per_booth,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q001_peak_per_booth,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q002_event_counts_by_type,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q002_event_counts_by_type,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q003_hourly_person_entry_main_entrance,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q003_hourly_person_entry_main_entrance,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q004_avg_headcount_per_crowd_camera,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q004_avg_headcount_per_crowd_camera,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q005_top3_hours_by_crowd_activity,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q005_top3_hours_by_crowd_activity,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q006_arrival_pattern_main_gate,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q006_arrival_pattern_main_gate,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q007_crowd_hotspots,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q007_crowd_hotspots,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L3,L3_q008_event_volume_by_hour,set_match_with_tolerance,error,,error
b1_sql,gpt-5,L3,L3_q008_event_volume_by_hour,set_match_with_tolerance,error,,error
b1_sql,gpt-5-mini,L4,L4_q001_compare_booths,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q001_compare_booths,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q002_gate_flow_comparison,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q002_gate_flow_comparison,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q003_morning_vs_evening_main_entrance,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q003_morning_vs_evening_main_entrance,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q004_keynote_morning_vs_afternoon,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q004_keynote_morning_vs_afternoon,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q005_highest_peak_to_baseline_ratio,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q005_highest_peak_to_baseline_ratio,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q006_morning_vs_evening_rush,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q006_morning_vs_evening_rush,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q007_nvidia_vs_intel_booth_attraction,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q007_nvidia_vs_intel_booth_attraction,structured_facts,error,,error
b1_sql,gpt-5-mini,L4,L4_q008_keynote_attendance_dropoff,structured_facts,error,,error
b1_sql,gpt-5,L4,L4_q008_keynote_attendance_dropoff,structured_facts,error,,error
b1_sql,gpt-5-mini,L5,L5_q001_summit_day_brief,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q001_summit_day_brief,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q002_nvidia_booth_timeline,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q002_nvidia_booth_timeline,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q003_staffing_brief,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q003_staffing_brief,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q004_security_attention_report,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q004_security_attention_report,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q005_keynote_hall_lifecycle,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q005_keynote_hall_lifecycle,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q006_how_did_the_day_go,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q006_how_did_the_day_go,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q007_security_team_handoff,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q007_security_team_handoff,rubric_coverage,error,,error
b1_sql,gpt-5-mini,L5,L5_q008_what_should_change,rubric_coverage,error,,error
b1_sql,gpt-5,L5,L5_q008_what_should_change,rubric_coverage,error,,error
