approach,model,level,question_id,question_text,auto_passed,auto_detail,answer,errors
b2_rag_community,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,How many car_entry events were recorded at Gate_ParkingLot on 2025-12-08 (UTC)?,False,expected=381.0 got=298.0,"There were 298 car entry events recorded at Gate_ParkingLot on December 8, 2025 (UTC).",
b2_rag_community,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,How many person_entry events were recorded at KeynoteHall_DoorA on 2025-12-08 (UTC)?,False,expected=782.0 got=8.0,"The number of person entry events recorded at KeynoteHall_DoorA on December 8, 2025, was 680. This was within the observed time range from 08:00:13 to 15:59:56 UTC at that location.",
b2_rag_community,gpt-4o,L1,L1_q004_total_events_in_summit_day,How many total events of any type were recorded across all cameras during the entire day of 2025-12-08 (UTC)?,False,expected=437940.0 got=917.0,"A total of 917 events were recorded across all cameras during the entire day of December 8, 2025 (UTC).",
b2_rag_community,gpt-4o,L1,L1_q005_distinct_object_ids_at_main_entrance,How many distinct object_id values were tracked at Gate_MainEntrance across all entry/exit events on 2025-12-08 (UTC)?,False,expected=2951.0 got=8.0,"The summaries do not provide information on the distinct object_id values tracked at Gate_MainEntrance on December 8, 2025. They report the number and type of events but do not detail distinct objects or identifiers.",
b2_rag_community,gpt-4o,L1,L1_q006_active_cameras_during_keynote,How many distinct cameras produced at least one event between 09:00 and 10:00 UTC on 2025-12-08 (the morning keynote hour)?,True,match,"The retrieved summaries do not provide information about any camera activity between 09:00 and 10:00 UTC on December 8, 2025. Therefore, there is no data available to determine how many distinct cameras produced at least one event during the morning keynote hour.",
b2_rag_community,gpt-4o,L1,L1_q007_cars_into_parking_lot,How many cars came into the parking lot during the day?,False,expected=381.0 got=8.0,"During December 8, 2025, at the Gate_ParkingLot camera location, there were 298 recorded car entries.",
b2_rag_community,gpt-4o,L1,L1_q008_people_through_main_gate,"How many people in total went through the main entrance gate, counting both people arriving and people leaving?",False,expected=2883.0 got=8.0,"At the Gate_MainEntrance on December 8, 2025, there were 470 person entries and 450 person exits recorded. The total number of people passing through, counting both arrivals and departures, was 920.",
b2_rag_community,gpt-4o,L1,L1_q009_total_cameras_at_venue,How many cameras are deployed at this venue?,False,expected=8.0 got=6.0,"There are six cameras deployed at this venue, specifically at the following locations: DemoBooth_Intel, DemoBooth_NVIDIA, ExpoFloor_MainAisle, FoodCourt_North, KeynoteHall_Stage, and Gate_ParkingLot.",
b2_rag_community,gpt-4o,L1,L1_q010_person_exits_main_gate,How many people left through the main entrance gate today?,False,expected=1352.0 got=450.0,"A total of 450 people exited through the main entrance gate on December 8, 2025, according to the CCTV activity at the Gate_MainEntrance.",
b2_rag_community,gpt-4o,L1,L1_q011_car_exits_parking,How many cars drove out of the parking lot?,False,expected=397.0 got=312.0,"A total of 312 cars drove out of the parking lot, based on the activity recorded at the Gate_ParkingLot camera on December 8, 2025.",
b2_rag_community,gpt-4o,L1,L1_q012_crowd_events_expo,How many crowd readings were taken on the expo floor today?,False,expected=86400.0 got=1.0,"The summaries provided do not specify the number of crowd readings specifically taken on the expo floor today. There is mention of the ExpoFloor_MainAisle as one of the camera locations, but no specific data about crowd readings from there is included in the summaries.",
b2_rag_community,gpt-4o,L1,L1_q013_total_car_entries,"In total, how many cars entered the venue today across all gates?",False,expected=419.0 got=382.0,"Based on the summaries, a total of 382 cars entered the venue on December 8, 2025, across all gates. This total includes 298 car entries recorded at the Gate_ParkingLot, 8 car entries at the Gate_MainEntrance, 5 car entries in an unspecified location during the 09:00 to 09:59 time range, 3 car entries at multiple unspecified locations between 16:00:57 to 16:58:54, and 68 car entries during the 17:",
b2_rag_community,gpt-4o,L1,L1_q014_people_at_intel_booth,How many person entry events happened at the Intel demo booth area?,False,expected=0.0 got=169.0,"The CCTV summary specifically for the DemoBooth_Intel location reported a total of 169 person entry events that occurred during the observed time range on December 8, 2025. This count is part of the total events recorded from 02:03:44 UTC to 23:59:14 UTC.",
b2_rag_community,gpt-4o,L1,L1_q015_food_court_crowd_readings,How many times was the food court crowd measured today?,False,no_number_in_answer,The summaries do not provide specific information on how many times the crowd at the FoodCourt_North was measured today.,
b2_rag_community,gpt-4o,L1,L1_q016_keynote_door_total_flow,"What was the total number of people going through the keynote hall door, both in and out?",False,expected=1596.0 got=1365.0,"The total number of people going through the KeynoteHall_DoorA, both in and out, was 1,365. This includes 680 entries and 685 exits recorded on December 8, 2025, between 08:00:13 and 15:59:56 UTC.",
b2_rag_community,gpt-4o,L2,L2_q001_peak_headcount_nvidia_booth,What was the peak head_count observed at DemoBooth_NVIDIA on 2025-12-08 (UTC)?,False,exceeds_1pct (expected=86.0 got=8.0),"The summaries do not provide specific information about the peak head count at DemoBooth_NVIDIA on December 8, 2025 (UTC).",
b2_rag_community,gpt-4o,L2,L2_q002_avg_headcount_foodcourt_lunch,What was the average head_count at FoodCourt_North during lunch hours 12:00 to 14:00 UTC on 2025-12-08?,False,exceeds_1pct (expected=120.01 got=8.0),"The summaries do not provide specific average head count data for FoodCourt_North during the lunch hours of 12:00 to 14:00 UTC on December 8, 2025. The overall average head count mentioned for various locations was approximately 31.2, but this figure is not specific to FoodCourt_North or the time window you are interested in.",
b2_rag_community,gpt-4o,L2,L2_q003_avg_confidence_all_events,What was the average detection confidence across all events on 2025-12-08 (UTC)? Report to two decimal places.,False,exceeds_1pct (expected=0.9 got=8.0),"The summaries do not provide any information about detection confidence levels for the events on December 8, 2025. Therefore, I cannot report the average detection confidence for that day.",
b2_rag_community,gpt-4o,L2,L2_q004_low_confidence_events_count,How many events on 2025-12-08 (UTC) had a detection confidence below 0.85?,False,exceeds_1pct (expected=30467.0 got=8.0),"The summaries provided do not include information on detection confidence levels for events on December 8, 2025. Thus, it's not possible to determine how many events had a detection confidence below 0.85.",
b2_rag_community,gpt-4o,L2,L2_q005_net_person_flow_main_entrance,What was the net person flow (person_entry events minus person_exit events) at Gate_MainEntrance on 2025-12-08 (UTC)?,False,exceeds_1pct (expected=179.0 got=8.0),"The net person flow at Gate_MainEntrance on December 8, 2025, was 20, calculated by subtracting person exits (450) from person entries (470).",
b2_rag_community,gpt-4o,L2,L2_q006_busiest_moment_nvidia,How packed did the NVIDIA booth get at its busiest moment?,False,exceeds_1pct (expected=86.0 got=500.0),"The summaries do not provide specific information about the number of people at the NVIDIA booth or its busiest moment. The available data mentions a peak head count of 500 across various locations, but it does not specify how many of those were at the NVIDIA booth.",
b2_rag_community,gpt-4o,L2,L2_q007_low_confidence_detections,"How many detections had low confidence today, say below 85%?",False,exceeds_1pct (expected=30467.0 got=85.0),The summaries provided do not include any specific information on the number of detections with low confidence below 85% for the day in question.,
b2_rag_community,gpt-4o,L2,L2_q008_lunch_crowd_food_court,How busy was the food court during lunch hours on average?,False,no_number_in_answer,"The summaries do not provide specific data about the average head count or foot traffic specifically in the FoodCourt_North location during lunch hours. Therefore, I cannot determine how busy the food court was during those times.",
b2_rag_community,gpt-4o,L2,L2_q009_min_crowd_keynote,What was the quietest moment at the keynote stage — the lowest crowd count recorded?,False,no_number_in_answer,"The summaries do not provide specific data about the lowest crowd count recorded at the KeynoteHall_Stage. Details on peak and average head counts are mentioned, but specific low points or quiet moments at the keynote stage are not included in the available information.",
b2_rag_community,gpt-4o,L2,L2_q010_peak_expo_floor,What was the biggest crowd the expo floor saw at any moment?,False,exceeds_1pct (expected=209.0 got=500.0),The biggest crowd on the expo floor reached a peak head count of 500. This count is from the ExpoFloor_MainAisle area covered by the CCTV.,
b2_rag_community,gpt-4o,L2,L2_q011_avg_confidence_entries,"On average, how confident were the detections for people entering the main gate?",False,no_number_in_answer,The summaries do not provide any information regarding the average confidence of detections for people entering the main gate.,
b2_rag_community,gpt-4o,L2,L2_q012_evening_crowd_food,"How crowded was the food court during dinner time, say 5 PM to 7 PM?",False,exceeds_1pct (expected=99.96 got=5.0),The summaries do not provide specific data about the activity or crowd levels in the FoodCourt_North during dinner time from 5 PM to 7 PM.,
b2_rag_community,gpt-4o,L2,L2_q013_max_people_one_hour_gate,What was the most people that entered the main gate in any single hour?,False,exceeds_1pct (expected=334.0 got=437.0),"The most people that entered the Gate_MainEntrance in a single hour was 437 on December 8, 2025, between 09:00 and 09:59 UTC.",
b2_rag_community,gpt-4o,L2,L2_q014_avg_intel_crowd,What was the average crowd at the Intel booth throughout the day?,False,exceeds_1pct (expected=10.65 got=500.0),"The summaries do not provide specific information about the average crowd at the Intel booth throughout the day. Only general data about peak head counts (500) and average head counts (31.2) for the event are mentioned, but they are not specifically attributed to the Intel booth.",
b2_rag_community,gpt-4o,L2,L2_q015_total_people_entered_venue,"Roughly how many people entered the venue in total today, counting all gates?",False,exceeds_1pct (expected=2601.0 got=2226.0),"The total number of people who entered the venue today across all gates is 2,226. This includes 470 entries at Gate_MainEntrance, 454 at Gate_ParkingLot, 169 entries captured across other internal locations such as DemoBooths and ExpoFloor, 437 entries during a specific recorded hour, 16 entries later in the afternoon, and 680 entries at KeynoteHall_DoorA.",
b2_rag_community,gpt-4o,L3,L3_q001_peak_per_booth,"For each demo booth (DemoBooth_NVIDIA and DemoBooth_Intel), what was the peak head_count observed on 2025-12-08 (UTC)?",False,"missing_numbers=[53.0, 86.0]","The retrieved summaries do not contain specific peak head count data for DemoBooth_NVIDIA or DemoBooth_Intel on December 8, 2025.",
b2_rag_community,gpt-4o,L3,L3_q002_event_counts_by_type,"For 2025-12-08 (UTC), how many events were recorded for each event_type? List every event_type with its count.",False,"missing_keys=['car_entry', 'car_exit', 'crowd', 'person_entry', 'person_exit'] m","For December 8, 2025 (UTC), the recorded event counts by event type are as follows:

- **Person entries**: 1,471 (from community_10: 437, community_5: 16, community_3: 12, community_7: 309, community_2: 680, community_8: 17)
- **Person exits**: 1,406 (from community_10: 387, community_5: 11, community_3: 18, community_7: 289, community_2: 685, community_8: 16)
- **Car entries**: 82 (from community",
b2_rag_community,gpt-4o,L3,L3_q003_hourly_person_entry_main_entrance,Show the hour-by-hour person_entry count at Gate_MainEntrance on 2025-12-08 (UTC). List each UTC hour (00 through 23) with its count.,False,"missing_keys=['06', '10', '11', '13', '14'] missing_numbers=[13.0, 18.0, 15.0, 1","The summaries provide limited hourly data for person entries at Gate_MainEntrance on December 8, 2025. Between 08:00 and 12:59 UTC, there were 470 person entries. Unfortunately, specific hourly counts from 00 to 23 UTC are not available in the retrieved data.",
b2_rag_community,gpt-4o,L3,L3_q004_avg_headcount_per_crowd_camera,"For each crowd-mode camera_location on 2025-12-08 (UTC), report the average head_count over the full day.",False,"missing_numbers=[10.65, 15.52, 49.36, 23.07, 57.4]","For the date of December 8, 2025 (UTC), the only reported average head count is approximately 31.2 at the camera locations monitored by Community community_4. These locations included DemoBooth_Intel, DemoBooth_NVIDIA, ExpoFloor_MainAisle, FoodCourt_North, and KeynoteHall_Stage.",
b2_rag_community,gpt-4o,L3,L3_q005_top3_hours_by_crowd_activity,What were the top 3 UTC hours on 2025-12-08 by total head_count summed across all crowd cameras? List the hour and its total head_count for each of th,False,"missing_keys=['14'] missing_numbers=[2365493.0, 2059433.0, 1685871.0]","Based on the retrieved summaries, the top three UTC hours on December 8, 2025, by total head_count summed across all crowd cameras are as follows:

1. 09:00 to 09:59 UTC, with a total of 824 people (437 entries and 387 exits).
2. 17:00 to 17:59 UTC, with a total of 598 people (309 entries and 289 exits).
3. 16:00 to 16:59 UTC, with a total of 27 people (16 entries and 11 exits).",
b2_rag_community,gpt-4o,L3,L3_q006_arrival_pattern_main_gate,"Show me when people were arriving at the main entrance throughout the day, broken down hour by hour.",False,"missing_keys=['03', '06', '10', '11', '13'] missing_numbers=[13.0, 18.0, 15.0, 1","The summaries provide information on when people were arriving at the main entrance on December 8, 2025, from 08:00 to 12:59 UTC. During this time frame, a total of 470 person entries were recorded at the Gate_MainEntrance. Unfortunately, the data is not broken down hour by hour for this period within the summaries provided.",
b2_rag_community,gpt-4o,L3,L3_q007_crowd_hotspots,Which areas of the venue had the most crowd activity? Rank them by their average crowd size.,False,"missing_keys=['KeynoteHall_Stage', 'ExpoFloor_MainAisle', 'FoodCourt_North', 'De","Based on the CCTV data, the KeynoteHall_DoorA had the most crowd activity with a total of 1,376 recorded events, including 680 person entries and 685 exits between 08:00:13 and 15:59:56 UTC. The Gate_ParkingLot follows with 1,540 events involving both person and car movements. The Gate_MainEntrance records significant foot traffic with 930 events, including 470 person entries and 450 exits, betwee",
b2_rag_community,gpt-4o,L3,L3_q008_event_volume_by_hour,How does activity change throughout the day across the whole venue? Show the total number of events per hour.,False,"missing_keys=['04', '10', '11', '14', '17'] missing_numbers=[18040.0, 18039.0, 1","Throughout the day on December 8, 2025, there were varying levels of activity across the venue as captured by multiple camera locations. Between 08:00 and 12:59 UTC, Gate_MainEntrance alone recorded 930 events, with KeynoteHall_DoorA contributing significantly to the overall activity from 08:00 to 15:59 UTC with a total of 1,376 events. In the morning hour from 09:00 to 09:59 UTC, there were 833 e",
b2_rag_community,gpt-4o,L3,L3_q009_crowd_surge_timeline,Show me how the crowd size changed at the keynote stage throughout the day — give me the average crowd for each hour.,False,"missing_keys=['02', '04', '07', '10', '11'] missing_numbers=[7.0, 7.3, 7.1, 7.2,","The summaries do not provide average hourly crowd sizes specifically for the KeynoteHall_Stage. However, at the KeynoteHall_DoorA, there were 680 person entries and 685 exits between 08:00:13 and 15:59:56 UTC, indicating significant activity during that time range. Despite this, specific average head counts per hour are not available from the provided data.",
