approach,model,level,question_id,scoring,invocation_status,passed,detail
b1_sql,gpt-4o-mini,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,True,match
b1_sql,gpt-4o,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o-mini,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,False,expected=223.0 got=0.0
b2_rag_cypher,gpt-4o,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,False,expected=223.0 got=0.0
b2_rag_community,gpt-4o-mini,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,False,expected=223.0 got=1.0
b2_rag_community,gpt-4o,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,False,expected=223.0 got=1.0
b2_rag_hybrid,gpt-4o-mini,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,False,expected=223.0 got=0.0
b2_rag_hybrid,gpt-4o,L1,L1_q001_car_entry_count_at_gate01,exact_numeric,ok,False,expected=223.0 got=1.0
b1_sql,gpt-4o-mini,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,True,match
b1_sql,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o-mini,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,True,match
b2_rag_community,gpt-4o-mini,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,False,expected=381.0 got=8.0
b2_rag_community,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,False,expected=381.0 got=8.0
b2_rag_hybrid,gpt-4o-mini,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,False,expected=381.0 got=8.0
b2_rag_hybrid,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,exact_numeric,ok,False,expected=381.0 got=8.0
b1_sql,gpt-4o-mini,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,True,match
b1_sql,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o-mini,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,True,match
b2_rag_community,gpt-4o-mini,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,False,expected=782.0 got=8.0
b2_rag_community,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,False,expected=782.0 got=8.0
b2_rag_hybrid,gpt-4o-mini,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,False,expected=782.0 got=8.0
b2_rag_hybrid,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,exact_numeric,ok,False,expected=782.0 got=8.0
b1_sql,gpt-4o-mini,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,True,match
b1_sql,gpt-4o,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,True,match
b2_rag_cypher,gpt-4o-mini,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,False,expected=437940.0 got=5940.0
b2_rag_cypher,gpt-4o,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,False,expected=437940.0 got=5940.0
b2_rag_community,gpt-4o-mini,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,False,expected=437940.0 got=8.0
b2_rag_community,gpt-4o,L1,L1_q004_total_events_in_summit_day,exact_numeric,ok,False,expected=437940.0 got=8.0
