run,approach,model,level,question_id,duration_ms,llm_calls,total_tokens,passed
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q001_car_entry_count_at_gate01,2572,2,1310,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q002_car_entry_count_at_parkinglot,2761,2,1312,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q003_person_entry_at_keynote_door,2408,2,1328,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q004_total_events_in_summit_day,2044,2,1281,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q005_distinct_object_ids_at_main_entrance,3191,2,1369,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q006_active_cameras_during_keynote,4096,2,1348,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q007_cars_into_parking_lot,3482,2,1386,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q008_people_through_main_gate,3180,2,1411,True
sprint1_abstract_v3,b1_sql,gpt-4o,L1,L1_q009_total_cameras_at_venue,3174,2,1241,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q001_peak_headcount_nvidia_booth,2854,2,1425,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q002_avg_headcount_foodcourt_lunch,2664,2,1406,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q003_avg_confidence_all_events,4708,2,1406,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q004_low_confidence_events_count,2563,2,1302,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q005_net_person_flow_main_entrance,3985,2,1438,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q006_busiest_moment_nvidia,3891,2,1512,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q007_low_confidence_detections,2556,2,1382,True
sprint1_abstract_v3,b1_sql,gpt-4o,L2,L2_q008_lunch_crowd_food_court,4404,2,1602,False
sprint1_abstract_v3,b1_sql,gpt-4o,L3,L3_q001_peak_per_booth,2678,2,1408,True
sprint1_abstract_v3,b1_sql,gpt-4o,L3,L3_q002_event_counts_by_type,3111,2,1370,True
sprint1_abstract_v3,b1_sql,gpt-4o,L3,L3_q003_hourly_person_entry_main_entrance,13202,2,1981,True
sprint1_abstract_v3,b1_sql,gpt-4o,L3,L3_q004_avg_headcount_per_crowd_camera,4501,2,1623,True
